time,comparisons,pvals,category,level
P7,MOE200-MOE100,0.012837423642684587,bodyweight,*
P14,MOE200-MOE50,1.7981258490773477e-4,bodyweight,***
P14,MOE200-MOE100,0.007725452548827727,bodyweight,**
P21,MOE200-MOE50,0.0122756955645279,bodyweight,*
P21,MOE200-MOE100,0.022553139402016087,bodyweight,*
P28,MOE200-MOE50,0.002554438518390878,bodyweight,**
P28,MOE200-MOE100,0.039041699664557616,bodyweight,*
P35,MOE200-MOE50,9.267317297885214e-4,bodyweight,***
P42,MOE200-MOE50,0.0011226516107526452,bodyweight,**
P49,MOE200-MOE50,0.004108915127086776,bodyweight,**
P56,MOE200-MOE50,0.004712406690362769,bodyweight,**
P70,MOE200-MOE50,0.015373665558902294,bodyweight,*
P70,MOE400-MOE200,0.019174032375389727,bodyweight,*
P77,MOE200-MOE50,0.036717311410797815,bodyweight,*
P84,MOE200-MOE50,0.039220626448280727,bodyweight,*
P91,MOE200-MOE50,0.019017108494276402,bodyweight,*
P7,MOE200-MOE50,0.009315031742979651,tail,**
P7,MOE200-MOE100,0.0015689808238615877,tail,**
P7,MOE400-MOE200,0.010160540119386496,tail,*
P14,MOE200-MOE50,2.1298153889504068e-4,tail,***
P14,MOE200-MOE100,0.02680275616597172,tail,*
P21,MOE200-MOE50,0.001250335263845881,tail,**
P21,MOE200-MOE100,0.002222395129548471,tail,**
P28,MOE200-MOE50,0.0377098593877927,tail,*
P56,MOE100-MOE50,0.04508223439597536,tail,*
